season,variable,week,metric,model,n_init,point,ci_lo,ci_hi
jfm,z500,1,crpss_clim,ncep,90,0.26652184494472136,0.1897158662875105,0.3410460604443437
jfm,z500,1,crpss_clim,spire,90,0.5870393827833891,0.5396982718657566,0.6299714081359393
jfm,z500,1,crpss_clim,ukmo,90,0.7568334310189371,0.7322309287916848,0.7801209820440413
jfm,z500,2,crpss_clim,delysm,90,0.3039309246965548,0.22564870233665327,0.37739509566703794
jfm,z500,2,crpss_clim,ecmwf,90,0.5957393778858262,0.5695696217828989,0.6209969703975853
jfm,z500,2,crpss_clim,fuxi,90,0.09758118809921607,-0.07686367632128359,0.24537185046173782
jfm,z500,2,crpss_clim,ncep,90,-0.13811476303656908,-0.2597018824738884,-0.0191333651399668
jfm,z500,2,crpss_clim,spire,90,0.4247369832635273,0.3484099241252806,0.49288020513673525
jfm,z500,2,crpss_clim,ukmo,90,0.3368432371032901,0.25789535937059166,0.40592475181834026
jfm,z500,3,crpss_clim,delysm,90,0.1030032457747368,0.03278798267045458,0.1696204070771864
jfm,z500,3,crpss_clim,ecmwf,90,0.3776234142016699,0.32604345477371827,0.42419316355496556
jfm,z500,3,crpss_clim,fuxi,90,-0.22854254155733975,-0.4159665027451485,-0.05330626360776284
jfm,z500,3,crpss_clim,ncep,90,-0.22189441665368415,-0.3753352910247041,-0.07346275467544058
jfm,z500,3,crpss_clim,spire,90,0.2922057655697012,0.23719257425681992,0.3425208246426275
jfm,z500,3,crpss_clim,ukmo,90,0.11830762053299457,0.004408748638191469,0.2235111500393784
jfm,z500,4,crpss_clim,delysm,90,0.006569831100056277,-0.07503118148308567,0.0804627802067244
jfm,z500,4,crpss_clim,ecmwf,90,0.26067655070637163,0.20153017084071,0.313660451980122
jfm,z500,4,crpss_clim,fuxi,90,-0.19729644166269505,-0.3356020792324367,-0.06582454342198817
jfm,z500,4,crpss_clim,ncep,90,-0.2688655363178122,-0.42207034428833523,-0.11935907593117033
jfm,z500,4,crpss_clim,spire,90,0.26021972145297606,0.2117426069046847,0.3079045445392245
jfm,z500,4,crpss_clim,ukmo,90,0.13563033684626394,0.04873129222265003,0.2105669518025323
jfm,z500,5,crpss_clim,delysm,90,0.1095667338849442,0.05714410274235545,0.16037481639822646
jfm,z500,5,crpss_clim,ecmwf,90,0.23637288706465773,0.18921409803787198,0.2806900598940995
jfm,z500,5,crpss_clim,fuxi,90,0.03275526793014878,-0.056065480284062275,0.120123893425954
jfm,z500,5,crpss_clim,ncep,90,-0.2918967542124443,-0.4838234815239258,-0.11495392190679414
jfm,z500,5,crpss_clim,spire,90,0.232580508210052,0.18504777417421117,0.2780265023728617
jfm,z500,5,crpss_clim,ukmo,90,0.07841631501452603,-0.019624360799177832,0.16035669721773235
jfm,z500,6,crpss_clim,delysm,90,0.10763387809177204,0.050133640237552256,0.1609572419320033
jfm,z500,6,crpss_clim,ecmwf,90,0.2168319310278897,0.17663930436374148,0.25459930235681005
jfm,z500,6,crpss_clim,fuxi,90,0.13466874055676276,0.062483384836456955,0.2038335839863809
