season,variable,week,metric,model_a,model_b,n_init,diff,ci_lo,ci_hi,p_value,significant_95
jfm,tp,2,crpss_clim,fuxi,spire,90,-0.12398400253262953,-0.2186803970693489,-0.04563317406210423,0.0006,True
jfm,tp,2,crpss_clim,fuxi,ukmo,90,0.006921264847435049,-0.08332569421133997,0.08776564706208448,0.8644,False
jfm,tp,2,crpss_clim,ncep,spire,90,-0.06475665909508443,-0.11538131321932334,-0.011942011224701518,0.016,True
jfm,tp,2,crpss_clim,ncep,ukmo,90,0.06614860828498015,0.011658301836671414,0.12275962142707701,0.0168,True
jfm,tp,2,crpss_clim,spire,ukmo,90,0.13090526738006458,0.08249540254000197,0.17954855864389313,0.0,True
jfm,tp,3,crpss_clim,ecmwf,fuxi,90,0.08988087913564063,0.055223508656507006,0.128041209538196,0.0,True
jfm,tp,3,crpss_clim,ecmwf,ncep,90,0.11386200334925395,0.08874089358358549,0.14035662951789152,0.0,True
jfm,tp,3,crpss_clim,ecmwf,spire,90,0.15072222779055167,0.09765954725464193,0.20311903451658384,0.0,True
jfm,tp,3,crpss_clim,ecmwf,ukmo,90,0.22337869134137578,0.16221101039188696,0.29362114838603437,0.0,True
jfm,tp,3,crpss_clim,fuxi,ncep,90,0.023981124213613314,-0.023570107626252747,0.06669160974732367,0.291,False
jfm,tp,3,crpss_clim,fuxi,spire,90,0.06084134865491103,0.010883847696404197,0.10898885610627228,0.0204,True
jfm,tp,3,crpss_clim,fuxi,ukmo,90,0.13349781220573514,0.06501980706921995,0.20668371643122774,0.0002,True
jfm,tp,3,crpss_clim,ncep,spire,90,0.03686022444129772,-0.02537238816341622,0.09979953107115135,0.2486,False
jfm,tp,3,crpss_clim,ncep,ukmo,90,0.10951668799212183,0.043599092186680996,0.18358821366587164,0.0008,True
jfm,tp,3,crpss_clim,spire,ukmo,90,0.07265646355082411,0.007989814890354267,0.1429873948013466,0.0258,True
jfm,tp,4,crpss_clim,ecmwf,fuxi,90,0.03592795955094136,0.014530723178790155,0.05802801281896516,0.0006,True
jfm,tp,4,crpss_clim,ecmwf,ncep,90,0.09240085220307725,0.05676119357998152,0.1281899320869348,0.0,True
jfm,tp,4,crpss_clim,ecmwf,spire,90,0.16460746652384006,0.10776681595228936,0.22022391803174768,0.0,True
jfm,tp,4,crpss_clim,ecmwf,ukmo,90,0.10458549497854919,0.05845541559000806,0.15489328097130042,0.0,True
jfm,tp,4,crpss_clim,fuxi,ncep,90,0.0564728926521359,0.016548482379066358,0.09630536831179307,0.0064,True
jfm,tp,4,crpss_clim,fuxi,spire,90,0.1286795069728987,0.06816814055367454,0.18816645774794344,0.0,True
jfm,tp,4,crpss_clim,fuxi,ukmo,90,0.06865753542760783,0.017180225064416556,0.12243672508019184,0.0092,True
jfm,tp,4,crpss_clim,ncep,spire,90,0.07220661432076281,0.003150669729130712,0.14345486702550167,0.0402,True
jfm,tp,4,crpss_clim,ncep,ukmo,90,0.012184642775471932,-0.042555764361014846,0.06806090429280816,0.6708,False
jfm,tp,4,crpss_clim,spire,ukmo,90,-0.060021971545290875,-0.12088170602832234,-4.543822660067742e-06,0.0498,True
jfm,tp,5,crpss_clim,ecmwf,fuxi,90,0.014023598194607523,-0.003150874795909479,0.03171499282680432,0.1116,False
jfm,tp,5,crpss_clim,ecmwf,ncep,90,0.06294042375278416,0.023681074956658305,0.10757036327523409,0.0014,True
jfm,tp,5,crpss_clim,ecmwf,spire,90,0.116585145588186,0.05628966321103425,0.1767858395799399,0.0,True
jfm,tp,5,crpss_clim,ecmwf,ukmo,90,0.07029609175584467,0.017966674084445633,0.12488541498685996,0.0058,True
jfm,tp,5,crpss_clim,fuxi,ncep,90,0.04891682555817664,0.00847143860772742,0.09255020361772322,0.0174,True
jfm,tp,5,crpss_clim,fuxi,spire,90,0.10256154739357848,0.043177593520887285,0.16105766246207276,0.001,True
jfm,tp,5,crpss_clim,fuxi,ukmo,90,0.05627249356123715,0.004766668837061996,0.10986045607896311,0.0346,True
jfm,tp,5,crpss_clim,ncep,spire,90,0.05364472183540184,-0.01275770543393403,0.11987865242055756,0.1122,False
jfm,tp,5,crpss_clim,ncep,ukmo,90,0.007355668003060506,-0.05119211926883419,0.06784960101400958,0.822,False
jfm,tp,5,crpss_clim,spire,ukmo,90,-0.04628905383234133,-0.09192621516001542,-0.001176580312192704,0.0446,True
jfm,tp,6,crpss_clim,ecmwf,fuxi,90,-0.009725861447631212,-0.023342680643620377,0.003648993211562108,0.1546,False
