season,variable,model,region,init_date,scale,lead,week,clim_basis,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JFM2026,TP,ECMWF,central_india,2026-01-01,daily,42,Week 6,era5,0.3339592424233859,0.28127092475228466,0.01745803315765247,-0.18732230399393002,-18.129259258910267,1.3199746629858309,0.38388465924870124,3.4384668185729192
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,1,Week 1,era5,0.024233890940289916,0.2400729525910391,0.025708725301550224,0.899056138233231,0.05736707456170054,0.0535644303297503,0.046332342437662044,1.1560915660981028
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,2,Week 2,era5,0.050213980754133476,0.24577338088888737,0.019237163466996728,0.7956899133155722,-1.610259087327535,0.2028234689323737,0.047230810165121984,4.294304252315166
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,3,Week 3,era5,0.14793708036870296,0.2538517130904598,0.017750194087180666,0.41723032487085976,-7.334392268732673,0.5277927588181227,0.21807279862567244,2.4202594828165274
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,4,Week 4,era5,0.3351397064508335,0.2894858312535102,0.19720550829117653,-0.15770676927308092,-0.6994439422858074,1.0325235576402094,0.6692723796666574,1.5427553698756782
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,5,Week 5,era5,0.24395792394649998,0.2663607095801815,0.07820845983569961,0.08410694531108265,-2.1193290912390674,0.8103587718875003,0.3861357126827147,2.098637202597645
JFM2026,TP,ECMWF,central_india,2026-01-01,weekly,6,Week 6,era5,0.21058224081206584,0.27675253388409804,0.017457702574731157,0.23909552748573515,-11.062425735037403,0.7062095892422114,0.3677637871395232,1.9202803917567006
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,daily,1,Week 1,era5,0.26294721313121266,1.50055376905063,0.18629181053495897,0.8247665504865087,-0.41148025979310976,0.08593180924443486,0.6686923570809854,0.1285072400401724
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,daily,2,Week 1,era5,0.42831677545241803,1.5385943388765142,0.33774432727540343,0.721618125954385,-0.2681686733502411,0.2691527887029854,0.8795282109524168,0.30601950608443507
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,daily,3,Week 1,era5,0.3777803516564722,1.5380800762531353,0.1463464440757099,0.7543818703010768,-1.5814112125678559,0.34709476129005257,0.9800059379389573,0.3541761818505149
JFM2026,TP,ECMWF,east_northeast_india,2026-01-01,daily,4,Week 1,era5,0.2106850429674623,1.5469818547359868,0.12779284781692807,0.8638089759602134,-0.6486450264359311,0.24802760311902644,0.4769091568290068,0.5200730570328626
