method,season,year,model,week,n_cases,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,MAM,2024,ERPAS,4,13,-0.08501170893185675,-0.08153742138923221,-0.10393185900064221,-0.22248263696204107,-0.03526533969308883,4.1353201617074165,2.447635588677396,0.937052309729747
common_imd_1991_2020,MAM,2024,FuXi-S2S,1,13,0.48113407151898474,0.5201062261660083,0.5704872022853086,0.4263484427728993,0.6742730555227378,2.0672544677663156,0.9450087149005367,-0.1225505032026095
common_imd_1991_2020,MAM,2024,FuXi-S2S,2,13,0.2422212420536422,0.26477579719082417,0.24854610356034118,0.14275301093870876,0.4434893507237322,3.0826874645649522,1.5677672903676394,0.26131875250102266
common_imd_1991_2020,MAM,2024,FuXi-S2S,3,13,0.15062996444972876,0.16190300335707317,0.14158803244948062,-0.11350482935859926,0.3623183259774289,3.26515363647271,1.6131252704500543,0.127935365385279
common_imd_1991_2020,MAM,2024,FuXi-S2S,4,13,0.09247105052877719,0.09688161592250008,0.1331748349271958,-0.030307355608864557,0.230356502201298,3.5003490828776935,1.8998549039223778,0.2997111440210472
common_imd_1991_2020,MAM,ALL,ERPAS,1,27,0.43340519873820077,0.48523465564439566,0.47616559962685234,0.2813564516208995,0.617953262634692,2.0068273895887425,1.087640431167993,0.11372053333314788
common_imd_1991_2020,MAM,ALL,ERPAS,2,27,0.2039497512457136,0.22702915085340303,0.1653222489234754,0.00011284488314314018,0.40341124572258713,2.6450838686768128,1.47833094360391,0.022582440964711716
common_imd_1991_2020,MAM,ALL,ERPAS,3,27,-0.007821783588733073,-0.007608266119345503,-0.030520171484787837,-0.20143372380685787,0.14182894259675477,3.5732643270346385,2.0365307951504303,0.40542684996919515
common_imd_1991_2020,MAM,ALL,ERPAS,4,27,-0.05011184920344669,-0.04894534988679341,-0.06717279089380479,-0.16253624054128207,0.04965038449293328,4.060414451597527,2.4799075622897893,0.7837195951090359
common_imd_1991_2020,MAM,ALL,FuXi-S2S,1,27,0.542715338314746,0.60287306013334,0.5933939078215685,0.4654054503810242,0.7135956594120325,1.8179371992257254,0.9322827589265675,-0.2603947103892897
common_imd_1991_2020,MAM,ALL,FuXi-S2S,2,27,0.28895245199239306,0.31416495075227135,0.29822141742361097,0.13629459639606353,0.46308780535087746,2.690670349717288,1.4542967484319202,-0.18416832481345619
common_imd_1991_2020,MAM,ALL,FuXi-S2S,3,27,0.18964813069476635,0.20462933513794562,0.23239464836764678,-0.05770739740337657,0.4291105350856519,3.2094346534982474,1.7677114761789308,-0.12552076465908082
common_imd_1991_2020,MAM,ALL,FuXi-S2S,4,27,0.11943669765140773,0.1255747223275015,0.1493579718058761,-0.056313507174528085,0.3108497915585333,3.489824814791144,2.027539055369626,0.1197956947366793
common_imd_1991_2020,OND,2023,ERPAS,1,13,0.6146020864918512,0.6737789119393658,0.6463435076745148,0.46578273694177824,0.7496595816835382,1.6156169774012592,0.7355839828471833,0.06660483758185155
common_imd_1991_2020,OND,2023,ERPAS,2,13,0.36890451290303383,0.40024556699471675,0.5104200645918668,0.26134219396420755,0.5440617930305359,1.9740872822634836,0.9830399978358589,0.1278179704454231
