method,season,year,region,week,n_cases,region_target_cells,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,JF,ALL,northwest_india,4,17,68,0.15885907565106558,0.30850678687309474,0.09412764792175114,0.22110813491573056,0.1269804869939794,0.14964771122202916
common_imd_1991_2020,JF,ALL,south_peninsula,1,17,38,0.8681430079882566,0.8920354786556248,0.7206821482396637,0.7575616371734885,0.036879488933824756,0.023892470667368215
common_imd_1991_2020,JF,ALL,south_peninsula,2,17,38,0.6680071250719871,0.8022629459578826,0.40906469488405445,0.4811281501384375,0.07206345525438307,0.1342558208858955
common_imd_1991_2020,JF,ALL,south_peninsula,3,17,38,0.590538486802804,0.7831969675895281,0.39228916166954386,0.6615758254370863,0.2692866637675424,0.1926584807867241
common_imd_1991_2020,JF,ALL,south_peninsula,4,17,38,0.32697488580293416,0.7461696772678454,0.30221000741018156,0.6432649266708329,0.34105491926065135,0.4191947914649113
common_imd_1991_2020,JFM,2023,central_india,1,13,64,0.976844483177217,0.9728376147118478,0.6248096247590099,0.8000066408827006,0.17519701612369065,-0.004006868465369129
common_imd_1991_2020,JFM,2023,central_india,2,13,64,0.8977242523404831,0.9394745384242085,0.487563118566675,0.5668917112195411,0.07932859265286607,0.04175028608372533
common_imd_1991_2020,JFM,2023,central_india,3,13,64,0.7956235508288415,0.7936380750115615,0.39637136772365555,0.5160631963103348,0.11969182858667926,-0.0019854758172800357
common_imd_1991_2020,JFM,2023,central_india,4,13,64,0.6876776070115798,0.6778281429513362,0.40738497656055794,0.4593044627279175,0.05191948616735953,-0.009849464060243562
common_imd_1991_2020,JFM,2023,east_northeast_india,1,13,36,0.5510733999804712,0.4684267814005007,0.3550456247194168,0.36049552021269543,0.0054498954932786225,-0.08264661857997052
common_imd_1991_2020,JFM,2023,east_northeast_india,2,13,36,0.2824364255890005,0.23246805693471415,0.18769728408786313,0.19346975655956766,0.005772472471704537,-0.04996836865428636
common_imd_1991_2020,JFM,2023,east_northeast_india,3,13,36,0.1474927604038778,0.030834808162898113,0.09603485563552633,0.042201530525831935,-0.053833325109694394,-0.11665795224097968
common_imd_1991_2020,JFM,2023,east_northeast_india,4,13,36,0.03530089423509212,0.08186872805900902,0.006196380736998713,0.07439555027820166,0.06819916954120295,0.0465678338239169
common_imd_1991_2020,JFM,2023,northwest_india,1,13,68,0.6418024500646039,0.8552026599329163,0.5683790364090588,0.6996831368330942,0.1313041004240354,0.21340020986831243
common_imd_1991_2020,JFM,2023,northwest_india,2,13,68,0.5092526927067803,0.4685655924048248,0.44174651829928213,0.3966363093039443,-0.04511020899533785,-0.04068710030195549
common_imd_1991_2020,JFM,2023,northwest_india,3,13,68,0.288839470501217,0.3934935031229097,0.19193556323685154,0.324796009578801,0.13286044634194946,0.1046540326216927
common_imd_1991_2020,JFM,2023,northwest_india,4,13,68,0.29192321545384003,0.4681977647985099,0.210589829923237,0.3654884137873926,0.15489858386415561,0.17627454934466985
common_imd_1991_2020,JFM,2023,south_peninsula,1,13,38,0.8952258906677211,0.8882801984568375,0.7366903262309835,0.7473344862043649,0.010644159973381417,-0.006945692210883592
common_imd_1991_2020,JFM,2023,south_peninsula,2,13,38,0.6401009007578402,0.7265536387002245,0.3315115518961057,0.40734002208463616,0.07582847018853045,0.08645273794238428
common_imd_1991_2020,JFM,2023,south_peninsula,3,13,38,0.4745525768310332,0.6910438679211799,0.21223156934592396,0.5530274987137619,0.3407959293678379,0.2164912910901467
