method,season,year,region,model,week,n_cases,region_target_cells,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,ALL,2023,south_peninsula,ERPAS,4,52,38,0.16983330363798646,0.22555813978179828,0.20499764553674668,-0.10918796463739623,0.4964111189808147,3.6043323561419456,2.6895828921543026,0.6732105762170982
common_imd_1991_2020,ALL,2023,south_peninsula,FuXi-S2S,1,52,38,0.521164139317354,0.6598609729324206,0.551374071265498,0.36004469086967633,0.7915047167228597,2.70623638299441,1.6865299226376602,-0.4205436456352579
common_imd_1991_2020,ALL,2023,south_peninsula,FuXi-S2S,2,52,38,0.34437839392826575,0.5095909956905365,0.40476184545423777,-0.0071392257491306715,0.6497955396039045,3.2671592489439996,2.138626055138353,-0.5749294512358737
common_imd_1991_2020,ALL,2023,south_peninsula,FuXi-S2S,3,52,38,0.23900305936564895,0.33242889178897195,0.2208105801308292,-0.03939716898186826,0.577266196963295,3.332113763723211,2.1742450672874174,-0.47489534607601036
common_imd_1991_2020,ALL,2023,south_peninsula,FuXi-S2S,4,52,38,0.24909930725984614,0.33440043751655024,0.26050465071757734,-0.024899376114699237,0.6026774358111933,3.437025725413546,2.367374568662087,-0.23667971969091467
common_imd_1991_2020,ALL,2024,central_india,ERPAS,1,49,64,0.48270630953532956,0.5833761111085224,0.5650771527751082,0.2740009920257754,0.7453702488205973,2.4747831041218658,1.676766017517001,-0.02502175853827793
common_imd_1991_2020,ALL,2024,central_india,ERPAS,2,49,64,0.2864723204459863,0.37919687230098065,0.30634852957656217,-0.022713903424931917,0.6305359412964304,2.9531229471756304,2.084348241785368,0.07255761223179821
common_imd_1991_2020,ALL,2024,central_india,ERPAS,3,49,64,0.21509437782643548,0.28600939272391684,0.3383806688328916,-0.13518820945948598,0.4758194093392915,2.871208097265123,2.125983797048309,0.15245742843968946
common_imd_1991_2020,ALL,2024,central_india,ERPAS,4,49,64,0.21046079996166106,0.29039456711697287,0.26289386499306483,-0.15135433087279332,0.4894503116242131,2.9979010655546077,2.2051008990026633,-0.18400288183964816
common_imd_1991_2020,ALL,2024,central_india,FuXi-S2S,1,49,64,0.48934846546409405,0.5769945306213997,0.5256754757495239,0.34743951481317514,0.7183759098387518,2.5645701339686315,1.6501990709482053,-0.10303092822709818
common_imd_1991_2020,ALL,2024,central_india,FuXi-S2S,2,49,64,0.23071322862157023,0.30344556354968155,0.21389395872407685,-0.03653249973036507,0.4790260203031967,2.9413401873082425,1.9922734221133498,-0.08631715594110212
common_imd_1991_2020,ALL,2024,central_india,FuXi-S2S,3,49,64,0.17514430805153033,0.2572048913860602,0.17194637593694936,-0.19218843627623866,0.4755476085232928,2.7658188620758057,1.9464344285337563,-0.2975471464076722
common_imd_1991_2020,ALL,2024,central_india,FuXi-S2S,4,49,64,0.23662502405969088,0.29747037010709,0.2622284491827339,-0.030434298514569993,0.4988836312769588,2.749903687838948,1.912480330284947,-0.35115394172046166
common_imd_1991_2020,ALL,2024,east_northeast_india,ERPAS,1,49,36,0.36525508568367077,0.4283220490825584,0.4017214234584146,0.1465281143848425,0.6350965328639951,3.7074234050117014,2.6432704945579015,0.49943116211870897
common_imd_1991_2020,ALL,2024,east_northeast_india,ERPAS,2,49,36,0.1929169304359287,0.22971908775840152,0.19789291966318137,-0.02939676059918967,0.5139116278257613,4.39333366192566,3.209238709152538,0.8816696218490853
common_imd_1991_2020,ALL,2024,east_northeast_india,ERPAS,3,49,36,0.08197871184561324,0.09646908380213864,0.108050466917903,-0.20220518072149543,0.3464525678924703,5.035820303418608,3.7156243988869484,1.712421862101763
common_imd_1991_2020,ALL,2024,east_northeast_india,ERPAS,4,49,36,0.04948683673821487,0.06368207009682078,0.0864767735891829,-0.2366925965091533,0.33968153266860623,5.18119307163485,3.8995360929965917,1.488422601987516
common_imd_1991_2020,ALL,2024,east_northeast_india,FuXi-S2S,1,49,36,0.3509483993543503,0.38906530489210567,0.39696790642038754,0.14764735649159713,0.6310193484458013,3.8008755773710488,2.6450192576267715,0.8022264367920675
common_imd_1991_2020,ALL,2024,east_northeast_india,FuXi-S2S,2,49,36,0.17541468665348495,0.20261126673337213,0.1744507635846353,-0.06627311587560386,0.46143328956690477,4.960190964360751,3.471336119417968,1.556756722019917
common_imd_1991_2020,ALL,2024,east_northeast_india,FuXi-S2S,3,49,36,0.06095496546754959,0.06362605730379295,0.08666637725821834,-0.15949873054947847,0.29228232670381477,4.8435431779581934,3.4064661059572465,1.5957598454283644
common_imd_1991_2020,ALL,2024,east_northeast_india,FuXi-S2S,4,49,36,0.028583718310685312,0.028860388982812547,0.06998088619001101,-0.18532974681554049,0.28449847025976993,5.1241607082365395,3.72956129807302,1.6454285967166755
common_imd_1991_2020,ALL,2024,northwest_india,ERPAS,1,49,68,0.40628907276387904,0.5793054594563013,0.43853050271306476,0.10649000508185355,0.688136121217159,2.1852351486419077,1.4732405310636232,0.3708980596838973
common_imd_1991_2020,ALL,2024,northwest_india,ERPAS,2,49,68,0.2155772692829255,0.32348797966821774,0.2941324993580265,-0.08509074459281209,0.611434069250743,2.417726211689441,1.6178292652281525,0.4948759249675455
common_imd_1991_2020,ALL,2024,northwest_india,ERPAS,3,49,68,0.09396244215228611,0.1353871373211575,0.06315321757265341,-0.29388621772001083,0.45533645479270285,2.5811701993663645,1.8288829585319915,0.7702285233296241
