Region,Week,Init_Date,Model,ACC,RMSE,Bias
south_peninsula,Week 6,2026-01-22,Spire,0.9376145328351331,0.04929181039535335,0.00029373402888806444
south_peninsula,Week 6,2026-01-22,ECMWF,-0.7414899040157673,0.48479194565912814,0.2150005147752577
south_peninsula,Week 6,2026-01-22,NCEP,0.22473083051622983,0.1576819212017186,0.06435143618165089
east_northeast_india,Week 6,2026-01-22,FuXi,0.8925620365520219,0.05328346548933114,-0.029578531919166286
east_northeast_india,Week 6,2026-01-22,Spire,0.9271870163314848,0.025181075903543872,0.012632091965285672
east_northeast_india,Week 6,2026-01-22,ECMWF,-0.4138750621939973,3.185259606907305,1.5505864165165135
east_northeast_india,Week 6,2026-01-22,NCEP,0.04348697101193791,0.48006967119138516,0.1846514128318682
All India,Week 6,2026-01-29,FuXi,0.6604610136286013,0.07064519800816828,-0.028852724859682318
All India,Week 6,2026-01-29,Spire,0.42784665141490685,0.0846695868398735,-0.021171534402383365
All India,Week 6,2026-01-29,ECMWF,-0.06934159824612567,2.0422313572873714,1.217259782615472
