init,var,week,accA,accB,rmseA,rmseB,biasA,biasB
2026-03-19,Z500,Week 6,0.3725337313413604,0.8062904240745513,9.610275405507863,22.48628868374572,-4.659187704001579,10.424165927807133
2026-03-26,TP,Week 1,0.5495826479080235,0.4882165082232423,1.9729202424235794,2.1048976167839006,-0.39265919039184627,-0.46357214777955724
2026-03-26,TP,Week 2,0.5865406599956001,0.5546385167579257,1.9830567792338616,2.0428828587811494,-0.15817606269503942,-0.13255495556091973
2026-03-26,TP,Week 3,0.589143586083413,0.5368082989609501,1.5691644491511914,1.6447350392735745,0.7367354682120206,0.826317073088624
2026-03-26,TP,Week 4,0.27991577792134126,0.22437637507820227,1.9591440545990597,2.113346290827536,0.29371458363867975,0.3663982271363875
2026-03-26,TP,Week 5,0.030192522440234407,0.10352829679072285,4.065986665496817,3.9116077575370785,-1.0129772876417342,-0.8773288133046363
2026-03-26,TP,Week 6,0.12947253933580108,0.08310378093185733,2.935832935645953,3.085213246997076,-0.6575172381590262,-0.6877669834672677
2026-03-26,Z500,Week 1,0.9077558095666765,0.5003726137717188,9.451501373777287,32.778681849056404,7.098927475423907,20.871749655599665
2026-03-26,Z500,Week 2,0.8482096844142558,0.2065092794538699,33.29038659123906,55.14548686395969,28.370085786309907,40.64268423581177
2026-03-26,Z500,Week 3,-0.060902499726745184,0.15447902423570067,19.69059402922728,33.966131905604584,4.617575484686402,18.78623811337643
2026-03-26,Z500,Week 4,0.08567192508830485,-0.17341592704557496,9.665919654596175,28.350293534469795,-1.3543043101876107,9.411455409068264
2026-03-26,Z500,Week 5,0.5448878406407519,0.797468554891324,7.212215287244878,25.802607859737215,-0.011216276766218494,15.072201234711574
2026-03-26,Z500,Week 6,0.23050565738959106,0.4469243296526045,33.088818986110276,44.13481324495829,30.000636869872636,38.068631228290776
